danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.636,0.583,9,-5.115,0,0.426,0.0531,0.0,0.364,0.282,180.939,audio_features,3HicZmZQqn09gi8xG7v9iZ,spotify:track:3HicZmZQqn09gi8xG7v9iZ,https://api.spotify.com/v1/tracks/3HicZmZQqn09gi8xG7v9iZ,https://api.spotify.com/v1/audio-analysis/3HicZmZQqn09gi8xG7v9iZ,229333,4
0.789,0.858,1,-5.542,1,0.311,0.127,0.0,0.349,0.775,140.022,audio_features,4Li2WHPkuyCdtmokzW2007,spotify:track:4Li2WHPkuyCdtmokzW2007,https://api.spotify.com/v1/tracks/4Li2WHPkuyCdtmokzW2007,https://api.spotify.com/v1/audio-analysis/4Li2WHPkuyCdtmokzW2007,219333,4
0.837,0.787,7,-5.28,1,0.332,0.0715,3.98e-06,0.308,0.881,154.027,audio_features,1fKyNrA0O9hK8kYz3kNM3s,spotify:track:1fKyNrA0O9hK8kYz3kNM3s,https://api.spotify.com/v1/tracks/1fKyNrA0O9hK8kYz3kNM3s,https://api.spotify.com/v1/audio-analysis/1fKyNrA0O9hK8kYz3kNM3s,153196,4
0.797,0.851,6,-5.532,1,0.0952,0.2,0.0,0.0868,0.63,151.999,audio_features,6RT3ZDLcc5N1UNlSu1Jy3d,spotify:track:6RT3ZDLcc5N1UNlSu1Jy3d,https://api.spotify.com/v1/tracks/6RT3ZDLcc5N1UNlSu1Jy3d,https://api.spotify.com/v1/audio-analysis/6RT3ZDLcc5N1UNlSu1Jy3d,252840,4
0.723,0.97,0,-2.429,1,0.0575,0.0565,0.000188,0.203,0.966,79.489,audio_features,2lMXfJ7NmMIt7f37LjRRNz,spotify:track:2lMXfJ7NmMIt7f37LjRRNz,https://api.spotify.com/v1/tracks/2lMXfJ7NmMIt7f37LjRRNz,https://api.spotify.com/v1/audio-analysis/2lMXfJ7NmMIt7f37LjRRNz,235213,4
0.391,0.715,0,-4.516,1,0.0495,0.167,0.0,0.183,0.473,149.654,audio_features,4CkgMiMqZ5JzW9iYXSTMTL,spotify:track:4CkgMiMqZ5JzW9iYXSTMTL,https://api.spotify.com/v1/tracks/4CkgMiMqZ5JzW9iYXSTMTL,https://api.spotify.com/v1/audio-analysis/4CkgMiMqZ5JzW9iYXSTMTL,285107,3
0.835,0.757,8,-5.029,0,0.23,0.00647,0.0,0.29,0.626,82.038,audio_features,6o3s08kk2fQI37vxGZDrJ1,spotify:track:6o3s08kk2fQI37vxGZDrJ1,https://api.spotify.com/v1/tracks/6o3s08kk2fQI37vxGZDrJ1,https://api.spotify.com/v1/audio-analysis/6o3s08kk2fQI37vxGZDrJ1,274387,4
0.794,0.745,0,-6.355,0,0.351,0.113,0.0,0.254,0.741,81.263,audio_features,1QpMNpzkMxchOeYOn9RbNJ,spotify:track:1QpMNpzkMxchOeYOn9RbNJ,https://api.spotify.com/v1/tracks/1QpMNpzkMxchOeYOn9RbNJ,https://api.spotify.com/v1/audio-analysis/1QpMNpzkMxchOeYOn9RbNJ,332547,4
0.736,0.704,3,-7.409,0,0.0615,0.0203,0.0,0.0501,0.894,149.995,audio_features,27NovPIUIRrOZoCHxABJwK,spotify:track:27NovPIUIRrOZoCHxABJwK,https://api.spotify.com/v1/tracks/27NovPIUIRrOZoCHxABJwK,https://api.spotify.com/v1/audio-analysis/27NovPIUIRrOZoCHxABJwK,212000,4
0.929,0.661,2,-6.266,1,0.181,0.376,0.0,0.168,0.817,101.005,audio_features,4fES6g17wiZP0mzmlogk20,spotify:track:4fES6g17wiZP0mzmlogk20,https://api.spotify.com/v1/tracks/4fES6g17wiZP0mzmlogk20,https://api.spotify.com/v1/audio-analysis/4fES6g17wiZP0mzmlogk20,322320,4
0.608,0.0602,1,-19.146,0,0.0293,0.921,0.0,0.134,0.41,83.23,audio_features,7fLu4KJaQEDfbCiaBqVXhL,spotify:track:7fLu4KJaQEDfbCiaBqVXhL,https://api.spotify.com/v1/tracks/7fLu4KJaQEDfbCiaBqVXhL,https://api.spotify.com/v1/audio-analysis/7fLu4KJaQEDfbCiaBqVXhL,84360,4
0.788,0.751,5,-5.526,1,0.165,0.0384,0.0,0.109,0.627,146.05,audio_features,4RkHeBEelNIvSm4pjJFKbI,spotify:track:4RkHeBEelNIvSm4pjJFKbI,https://api.spotify.com/v1/tracks/4RkHeBEelNIvSm4pjJFKbI,https://api.spotify.com/v1/audio-analysis/4RkHeBEelNIvSm4pjJFKbI,322480,4
0.539,0.828,4,-9.108,0,0.035,0.00067,0.421,0.154,0.562,105.25,audio_features,54bm2e3tk8cliUz3VSdCPZ,spotify:track:54bm2e3tk8cliUz3VSdCPZ,https://api.spotify.com/v1/tracks/54bm2e3tk8cliUz3VSdCPZ,https://api.spotify.com/v1/audio-analysis/54bm2e3tk8cliUz3VSdCPZ,515387,4
0.812,0.754,11,-6.923,0,0.286,0.193,0.0,0.0888,0.694,144.967,audio_features,4VRALKF1Wx8vuZ5PyVZQTY,spotify:track:4VRALKF1Wx8vuZ5PyVZQTY,https://api.spotify.com/v1/tracks/4VRALKF1Wx8vuZ5PyVZQTY,https://api.spotify.com/v1/audio-analysis/4VRALKF1Wx8vuZ5PyVZQTY,211862,4
